feature_name	operation	parameter	sigma	group	downsample	quickTest	model_name_here
Gaussian_blur_16.0_ds_2_2_1	Gaussian Blur 3D...		16	IJ_filter	2_2_1		1
Hessian_largest_16.0_true_ds_2_2_1	Hessian	0	16	ImageScience	2_2_1		1
Hessian_middle_16.0_true_ds_2_2_1	Hessian	1	16	ImageScience	2_2_1		1
Hessian_smallest_16.0_true_ds_2_2_1	Hessian	2	16	ImageScience	2_2_1		1
Derivatives_1_1_1_16.0_ds_2_2_1	Derivatives	1	16	ImageScience	2_2_1		1
Derivatives_2_2_2_16.0_ds_2_2_1	Derivatives	2	16	ImageScience	2_2_1		1
Derivatives_3_3_3_16.0_ds_2_2_1	Derivatives	3	16	ImageScience	2_2_1		1
Derivatives_4_4_4_16.0_ds_2_2_1	Derivatives	4	16	ImageScience	2_2_1		1
Derivatives_5_5_5_16.0_ds_2_2_1	Derivatives	5	16	ImageScience	2_2_1		1
Laplacian_16.0_ds_2_2_1	Laplacian		16	ImageScience	2_2_1		1
Edges_16.0_ds_2_2_1	Edges		16	ImageScience	2_2_1		1
Structure_largest_16.0_1.0_ds_2_2_1	Structure_1	0	16	ImageScience	2_2_1		1
Structure_middle_16.0_1.0_ds_2_2_1	Structure_1	1	16	ImageScience	2_2_1		1
Structure_smallest_16.0_1.0_ds_2_2_1	Structure_1	2	16	ImageScience	2_2_1		1
Structure_largest_16.0_3.0_ds_2_2_1	Structure_3	0	16	ImageScience	2_2_1		1
Structure_middle_16.0_3.0_ds_2_2_1	Structure_3	1	16	ImageScience	2_2_1		1
Structure_smallest_16.0_3.0_ds_2_2_1	Structure_3	2	16	ImageScience	2_2_1		1
Minimum_16.0_ds_2_2_1	Minimum 3D...		16	IJ_filter	2_2_1		1
Maximum_16.0_ds_2_2_1	Maximum 3D...		16	IJ_filter	2_2_1		1
Mean_16.0_ds_2_2_1	Mean 3D...		16	IJ_filter	2_2_1		1
Median_16.0_ds_2_2_1	Median 3D...		16	IJ_filter	2_2_1		1
Variance_16.0_ds_2_2_1	sigma 		16	IJ_filter	2_2_1		1
GaussDiff_1.0_2.0	Gaussian_blur_2.0,Gaussian_blur_1.0			derived			1
GaussDiff_1.0_4.0	Gaussian_blur_4.0,Gaussian_blur_1.0			derived			1
GaussDiff_1.0_8.0	Gaussian_blur_8.0,Gaussian_blur_1.0			derived			1
GaussDiff_1.0_16.0_ds_2_2_1	Gaussian_blur_16.0_ds_2_2_1,Gaussian_blur_1.0			derived			1
GaussDiff_2.0_4.0	Gaussian_blur_4.0,Gaussian_blur_2.0			derived			1
GaussDiff_2.0_8.0	Gaussian_blur_8.0,Gaussian_blur_2.0			derived			1
GaussDiff_2.0_16.0_ds_2_2_1	Gaussian_blur_16.0_ds_2_2_1,Gaussian_blur_2.0			derived			1
GaussDiff_4.0_8.0	Gaussian_blur_8.0,Gaussian_blur_4.0			derived			1
GaussDiff_4.0_16.0_ds_2_2_1	Gaussian_blur_16.0_ds_2_2_1,Gaussian_blur_4.0			derived			1
GaussDiff_8.0_16.0_ds_2_2_1	Gaussian_blur_16.0_ds_2_2_1,Gaussian_blur_8.0			derived			1

